marque,country
RENAULT,France
DACIA,Romania
CITROEN,France
HONDA,Japan
CHRYSLER,US
DAEWOO,SK
FIAT,Italy
TOYOTA,Japan
SUBARU,Japan
PEUGEOT,France
LADA,Russia
FORD,US
OPEL,Germany
VOLVO,Sweden
VOLKSWAGEN,Germany
BMW,Germany
MITSUBISHI,Japan
AUDI,Germany
LAND-ROVER,GB
SEAT,Spain
MAZDA,Japan
MERCEDES,Germany
HYUNDAI,SK
NISSAN,Japan
ROVER,GB
SKODA,CR
ALFA ROMEO,Italy
MINI,GB
SUZUKI,Japan
KIA,SK
SMART,Germany
LANCIA,Italy
ISUZU,Japan
DAIHATSU,Japan
EBRO,Spain
SSANGYONG,SK
SAAB,Sweden
PORSCHE,Germany
SANTANA,Spain
PONTIAC,US
JAGUAR,GB
CHEVROLET,US
GMC,US
JEEP,US
MCC,Germany
MG,GB
ENGIN TRAVAUX PUBLIC,NR
NR,NR
LEXUS,Japan
AUSTIN,GB
DODGE,US
AUTOBIANCHI,Italy
MARTIN,GB
LOTUS,GB
AUVERLAND,France
HUMMER,US
SIMCA,France
MASERATI,Italy
FERRARI,Italy
DANGEL,France
BERTONE,Italy
OLDSMOBILE,Japan
TRIUMPH,GB
PONCIN,France
DATSUN,India
TALBOT,France
HOTCHKISS,France
LAMBORGHINI,Italy
TEILHOL,France
STEYR PUCH,Austria
ENGIN LOISIRS,France
GME,US
BEDFORD,Japan
IVECO,Italy
MORGAN,GB
PIAGGIO,Italy
INFINITI,Japan
GRANDIN,US
MAHINDRA,India
ARO,Romania
UNIMOG,Germany
ALPINE RENAULT,France
BUICK,US
RAMBLER,US
DAIMLER,GB
COURNIL,France
PGO,France
MEGA,US
UMM,Portugal
PROTON,GB
LORENZ,Belarus
SAVIEM,France
MOKE,GB
CADILLAC,US
PININFARINA,Italy
CATERHAM,GB
MORRIS,GB
WIESMANN,Italy
ASTON MARTIN,GB
AUSTIN-HEALEY,GB
SOVRA,GB
AUTOLAND,GB
BREMACH,Italy
BENTLEY,GB
DELAHAYE,France
TATA,India
SALMSON,GB
BRM,GB
LINCOLN,US
CARBODIES,GB
MARUTI,India
TVR,GB
ENGIN SPECIAL,Sweden
ASIA,SK
PLYMOUTH,US
MATRA,France
FSO,Poland
JIDE,France
SECMA,France
SATURN,US
AUTO-UNION,Greece
WILLYS,US
SIATA,Italy
DETHLEFFS,Germany
LAFER,Brazil
PANTHER,Italy
PANHARD,France
AMPHICAR,US
DAF,Netherlands 
SINGER,GB
EAGLE,US
SUNBEAM,GB
HANOMAG,Germany
CHEYENNE,US
LDV,GB
RELIANT,GB
CHENARD ET WALKER,France
MVS,France
LOHR,France
DE LOREAN,GB
AMC,US
EBS,GB
ACMA,US
YAMAHA,Japan
INTERNATIONAL,US
MERCURY,US
DONKERVOORT,Netherlands 
STRAUBENHARDT,Germany
SMS,US
RAYTON FISSORE,Italy
NECKAR,Germany
VEH SPECIAL,France
VAUXHALL,GB
ROLLS ROYCE,GB
NSU,Germany
GEELY,China
SOVAM,France
